iter	Logloss
0	0.6913822763
1	0.6890579489
2	0.6867076125
3	0.6847681483
4	0.682276367
5	0.6802609822
6	0.6784739531
7	0.6764903371
8	0.6748734344
9	0.6728019326
10	0.6706748396
11	0.6681848419
12	0.6663869624
13	0.6642339479
14	0.6628860397
15	0.6609602634
16	0.6587037004
17	0.6569265983
18	0.6550665673
19	0.6532715251
20	0.6514407941
21	0.6497162186
22	0.6481798711
23	0.6465906424
24	0.6446401123
25	0.6429517301
26	0.6416649212
27	0.6405005185
28	0.6389899562
29	0.63734887
30	0.6357052624
31	0.6341227108
32	0.6324798759
33	0.63134198
34	0.6304075425
35	0.6293944108
36	0.6283214941
37	0.6268574206
38	0.6258639686
39	0.6249677679
40	0.6242630926
41	0.6230542639
42	0.6218095954
43	0.6201073696
44	0.6184746098
45	0.617028315
46	0.6160951656
47	0.6150323527
48	0.6140836201
49	0.6130109288
50	0.6119373046
51	0.6111341102
52	0.6100869872
53	0.6092102421
54	0.6082875034
55	0.607007487
56	0.6064182482
57	0.605618768
58	0.6042207651
59	0.6035336888
60	0.6026032638
61	0.6017161829
62	0.6008159441
63	0.6003135073
64	0.5992068524
65	0.5981917891
66	0.5974684456
67	0.5964612272
68	0.5954974738
69	0.5946263968
70	0.593751163
71	0.5930983026
72	0.5920787343
73	0.5912416039
74	0.5906557278
75	0.5896689004
76	0.5891478817
77	0.5880470199
78	0.5873885966
79	0.5865495785
80	0.5862194766
81	0.5853922277
82	0.5846864429
83	0.5839398428
84	0.5832905028
85	0.5826681457
86	0.5820029154
87	0.5810587795
88	0.5803861331
89	0.5796862241
90	0.5789172705
91	0.5781196346
92	0.5775181143
93	0.5768694365
94	0.5764385823
95	0.5760017214
96	0.5756997401
97	0.5752875068
98	0.5744373911
99	0.5738908502
100	0.5734651001
101	0.5727750266
102	0.5723771331
103	0.5717156997
104	0.5712761343
105	0.5708660778
106	0.5704869445
107	0.5699774892
108	0.5691413401
109	0.5687123273
110	0.5677686146
111	0.5669548533
112	0.5665702782
113	0.5660659446
114	0.5656711146
115	0.5651657535
116	0.5646014242
117	0.5641064155
118	0.5634703636
119	0.5629772882
120	0.5624314826
121	0.5621059814
122	0.561693866
123	0.561301118
124	0.5605452793
125	0.5601161575
126	0.5595000457
127	0.5589880993
128	0.5584264653
129	0.5580277774
130	0.5577096091
131	0.5572922824
132	0.5568215076
133	0.5563453541
134	0.5559760495
135	0.5553478992
136	0.5548993494
137	0.5545616729
138	0.5541610476
139	0.5537856324
140	0.5531006731
141	0.5526485865
142	0.5521769945
143	0.5515711883
144	0.5510826517
145	0.5507362297
146	0.5503749084
147	0.5498666763
148	0.5495856555
149	0.5491596241
150	0.5488283961
151	0.5483119264
152	0.5480305867
153	0.5476765505
154	0.5472913081
155	0.5469048785
156	0.5466099879
157	0.5462192429
158	0.5458072129
159	0.5453596525
160	0.5449659597
161	0.5445251514
162	0.5441387824
163	0.5437307716
164	0.5432465433
165	0.5429563805
166	0.5426671678
167	0.5421358573
168	0.541832474
169	0.5415672008
170	0.5410083049
171	0.5406022834
172	0.5403366682
173	0.5400132434
174	0.5395901344
175	0.5391905714
176	0.5388096676
177	0.5383546252
178	0.5380119168
179	0.5376974168
180	0.5372543525
181	0.5369564488
182	0.5365770396
183	0.5363940808
184	0.5361400345
185	0.5358108673
186	0.5355072707
187	0.5351149078
188	0.5348437971
189	0.5345537925
190	0.5343157932
191	0.5340315465
192	0.5338623065
193	0.5335149194
194	0.533260187
195	0.5330363292
196	0.5326775759
197	0.5324532287
198	0.5322616385
199	0.5320336109
200	0.5316351872
201	0.5313757358
202	0.5308991217
203	0.5305439931
204	0.5302600263
205	0.5299336654
206	0.5296599884
207	0.5292460541
208	0.5288998283
209	0.5285592552
210	0.5281240267
211	0.5278502361
212	0.5276016887
213	0.5272384567
214	0.5269984341
215	0.5267709267
216	0.5264606248
217	0.5262540265
218	0.5260366281
219	0.5258296448
220	0.5254842989
221	0.5252075592
222	0.5250073421
223	0.5247806211
224	0.5245446221
225	0.5242139238
226	0.5238742777
227	0.5236741013
228	0.523512468
229	0.5230437056
230	0.5227474469
231	0.5225106003
232	0.5220982579
233	0.5219303253
234	0.5215816957
235	0.5213752991
236	0.5210996221
237	0.5209031115
238	0.520659891
239	0.5204034996
240	0.5201655143
241	0.5198490461
242	0.5196702824
243	0.5194290644
244	0.5191507163
245	0.5189542672
246	0.5188221736
247	0.5184958784
248	0.5179508003
249	0.5176555497
250	0.5175263924
251	0.5172845463
252	0.516987449
253	0.5167035822
254	0.5164169365
255	0.5161528618
256	0.5159852698
257	0.5158168977
258	0.5155767761
259	0.5153424744
260	0.5150629787
261	0.5149696401
262	0.5147576348
263	0.5144663529
264	0.5142216963
265	0.5140037917
266	0.5137625148
267	0.5134579685
268	0.5132245876
269	0.5129695575
270	0.5126644999
271	0.5123618105
272	0.5121825584
273	0.5118839127
274	0.511580441
275	0.5113603656
276	0.5112054422
277	0.5109573411
278	0.5107322302
279	0.5105516721
280	0.5103326178
281	0.5100400427
282	0.5098832139
283	0.5097585276
284	0.509335954
285	0.5092290947
286	0.5091001615
287	0.5088837294
288	0.5083999564
289	0.5081592696
290	0.5079620817
291	0.5077564403
292	0.5074775747
293	0.5071794116
294	0.5069304969
295	0.5066332758
296	0.5064149058
297	0.5061878715
298	0.5058933114
299	0.505693367
300	0.505360493
301	0.505252164
302	0.5049812538
303	0.5047545601
304	0.5046141966
305	0.5044873408
306	0.5042688078
307	0.5041121612
308	0.5039070419
309	0.5035652366
310	0.5031928527
311	0.5029255272
312	0.502780173
313	0.5025792757
314	0.5021904881
315	0.5019080154
316	0.5017424119
317	0.5015218143
318	0.501307494
319	0.5011560074
320	0.5008361322
321	0.5006556543
322	0.5004742574
323	0.5003113723
324	0.5001789723
325	0.5000028072
326	0.499742955
327	0.4995871324
328	0.4993591762
329	0.4991678834
330	0.4989015191
331	0.498621561
332	0.4983990131
333	0.4982366913
334	0.4980022958
335	0.497768355
336	0.4975632202
337	0.49733644
338	0.497145307
339	0.496924068
340	0.4966825286
341	0.4964322553
342	0.4961494623
343	0.4959680403
344	0.4956747922
345	0.4954837649
346	0.4952582055
347	0.4950919655
348	0.4948014347
349	0.4946175166
350	0.4944207355
351	0.4941142654
352	0.4939237446
353	0.4937662482
354	0.493555718
355	0.4932765045
356	0.4930714337
357	0.4928787663
358	0.4926534372
359	0.492464955
360	0.4923026457
361	0.4920315294
362	0.4918274642
363	0.4916083225
364	0.4914324272
365	0.4912607056
366	0.4909681768
367	0.4908717185
368	0.4907308396
369	0.4904422354
370	0.4902920209
371	0.490127833
372	0.4899283509
373	0.489796733
374	0.4896293368
375	0.4894280556
376	0.4892403267
377	0.4890656746
378	0.4889030107
379	0.4886727716
380	0.4886017077
381	0.488390332
382	0.4881336016
383	0.4879109108
384	0.4878328544
385	0.4876342688
386	0.4874392181
387	0.487236161
388	0.4870629669
389	0.4868577071
390	0.4867328008
391	0.4863622443
392	0.4860226994
393	0.4859245801
394	0.4856928764
395	0.4853987909
396	0.4851486593
397	0.4849980013
398	0.4848871399
399	0.4846787827
400	0.4845719117
401	0.4844056757
402	0.4841735576
403	0.4839864191
404	0.483816251
405	0.4835963194
406	0.4834464943
407	0.4832762147
408	0.4830617625
409	0.4828581841
410	0.4827582057
411	0.4826719736
412	0.4824012729
413	0.4822271855
414	0.481896148
415	0.481692083
416	0.4814028673
417	0.4812087787
418	0.4810279855
419	0.4808522903
420	0.4807056941
421	0.4804861986
422	0.4803263762
423	0.4801236049
424	0.4799447281
425	0.4797478528
426	0.4795513509
427	0.4793709955
428	0.4792299163
429	0.4790386516
430	0.4788795861
431	0.4786862887
432	0.4784909831
433	0.4783318574
434	0.4781783026
435	0.4779674629
436	0.4778593428
437	0.4776346854
438	0.4774362093
439	0.4772286909
440	0.476971419
441	0.476803313
442	0.4766599799
443	0.4764876305
444	0.4763672007
445	0.4761741089
446	0.4760275522
447	0.4758404654
448	0.4756671734
449	0.4755475039
450	0.475385585
451	0.4751051483
452	0.4749598955
453	0.4747365103
454	0.4746197941
455	0.4743365385
456	0.4741602648
457	0.4740379489
458	0.47389854
459	0.4737938898
460	0.4736166263
461	0.4734575146
462	0.4733361772
463	0.473149671
464	0.4729715558
465	0.4727007234
466	0.4725325091
467	0.4723690206
468	0.4721275918
469	0.4719967075
470	0.4718732542
471	0.4716765243
472	0.4715028135
473	0.4713389204
474	0.4711619514
475	0.4706587692
476	0.4704209662
477	0.470275465
478	0.4700947721
479	0.4698532852
480	0.4696599755
481	0.4695332858
482	0.4693002959
483	0.4690784783
484	0.4688768921
485	0.4686959421
486	0.4684719975
487	0.4682908252
488	0.4681493388
489	0.467992237
490	0.4678311472
491	0.4676855989
492	0.4674297824
493	0.4673658896
494	0.4671204493
495	0.4669705231
496	0.4667991722
497	0.466606852
498	0.4662878344
499	0.4660843556
500	0.4657903546
501	0.4656002644
502	0.465350938
503	0.4652162261
504	0.4650115707
505	0.4648831895
506	0.4647479185
507	0.4645986982
508	0.4644855944
509	0.4643007345
510	0.4641738984
511	0.4639775812
512	0.4638123558
513	0.4636177122
514	0.4633961161
515	0.4631929838
516	0.462883451
517	0.4626781262
518	0.462513588
519	0.4623674469
520	0.4622001606
521	0.4620697114
522	0.4618412022
523	0.4616588266
524	0.4614910677
525	0.4612716324
526	0.4609837758
527	0.4607917274
528	0.4605396909
529	0.4603297302
530	0.4599860189
531	0.4596306839
532	0.4594587201
533	0.459234806
534	0.4590986685
535	0.4589829346
536	0.4587776276
537	0.4586028123
538	0.4584120055
539	0.4581853786
540	0.4580178971
541	0.4578229427
542	0.4576893565
543	0.4575625656
544	0.4573769875
545	0.4570686734
546	0.4569289021
547	0.4567489656
548	0.4564618796
549	0.4562703474
550	0.4559765849
551	0.4557907618
552	0.4556317459
553	0.4552542603
554	0.455047098
555	0.454893741
556	0.4545556469
557	0.4543648282
558	0.4541655422
559	0.4539667222
560	0.4538201557
561	0.4536879352
562	0.4533003061
563	0.4531805931
564	0.4527770286
565	0.4526091189
566	0.4525116944
567	0.4522804594
568	0.4520648374
569	0.4519488023
570	0.451791563
571	0.4516237653
572	0.4514765234
573	0.4512770138
574	0.4509941817
575	0.4507384653
576	0.4505338207
577	0.450334847
578	0.450184327
579	0.4499816727
580	0.449901433
581	0.4496371636
582	0.4494618844
583	0.4492424586
584	0.4490204926
585	0.4488767805
586	0.4486448512
587	0.4484540771
588	0.4482806206
589	0.4480148308
590	0.4478146566
591	0.447643068
592	0.4474038133
593	0.447192657
594	0.4469533032
595	0.4467400985
596	0.4463922048
597	0.4460847635
598	0.4459721236
599	0.4456812917
600	0.4454898675
601	0.4452114453
602	0.4450870421
603	0.444763402
604	0.4444896986
605	0.444273697
606	0.4440799726
607	0.4439580361
608	0.4438395069
609	0.4436233526
610	0.4434450361
611	0.4432024289
612	0.4431114107
613	0.4428362481
614	0.4424786526
615	0.4422181729
616	0.442067001
617	0.441935738
618	0.4417981744
