iter	Passed	Remaining
0	60	59943
1	67	33583
2	74	24598
3	80	20094
4	87	17403
5	94	15606
6	101	14332
7	107	13379
8	114	12631
9	121	12020
10	128	11530
11	135	11122
12	141	10766
13	148	10460
14	155	10197
15	162	9977
16	169	9779
17	175	9594
18	182	9422
19	189	9272
20	195	9129
21	202	9008
22	209	8895
23	216	8792
24	222	8695
25	229	8607
26	236	8522
27	243	8446
28	250	8376
29	256	8300
30	263	8234
31	270	8173
32	277	8119
33	283	8064
34	290	8013
35	297	7963
36	304	7916
37	310	7872
38	317	7827
39	324	7784
40	331	7743
41	337	7705
42	344	7667
43	351	7632
44	358	7599
45	364	7567
46	371	7534
47	378	7505
48	385	7476
49	392	7448
50	398	7419
51	405	7391
52	412	7365
53	418	7339
54	425	7316
55	432	7290
56	439	7266
57	445	7243
58	452	7222
59	459	7201
60	466	7180
61	473	7159
62	480	7140
63	486	7120
64	493	7102
65	500	7082
66	507	7065
67	514	7047
68	520	7028
69	527	7011
70	534	6994
71	541	6975
72	548	6960
73	554	6943
74	561	6926
75	568	6909
76	575	6893
77	581	6878
78	588	6863
79	595	6848
80	602	6832
81	609	6818
82	615	6805
83	622	6791
84	629	6777
85	636	6762
86	643	6748
87	649	6733
88	656	6720
89	663	6707
90	670	6694
91	677	6682
92	683	6669
93	690	6655
94	697	6643
95	704	6631
96	711	6619
97	717	6607
98	724	6595
99	731	6584
100	738	6572
101	745	6559
102	751	6548
103	758	6537
104	765	6526
105	772	6515
106	779	6503
107	786	6492
108	792	6481
109	799	6469
110	806	6459
111	813	6448
112	820	6436
113	826	6426
114	833	6415
115	840	6404
116	847	6394
117	854	6384
118	860	6373
119	867	6363
120	874	6352
121	881	6342
122	888	6332
123	895	6322
124	901	6312
125	908	6302
126	915	6291
127	922	6281
128	928	6270
129	935	6261
130	942	6251
131	949	6242
132	956	6233
133	963	6223
134	969	6214
135	976	6205
136	983	6195
137	990	6185
138	997	6176
139	1004	6167
140	1010	6158
141	1017	6149
142	1024	6139
143	1031	6131
144	1038	6122
145	1045	6113
146	1052	6104
147	1058	6095
148	1065	6086
149	1075	6093
150	1082	6084
151	1089	6075
152	1095	6066
153	1102	6057
154	1109	6049
155	1116	6040
156	1123	6031
157	1130	6022
158	1136	6013
159	1143	6005
160	1150	5995
161	1157	5987
162	1164	5978
163	1171	5969
164	1177	5960
165	1184	5952
166	1191	5944
167	1198	5936
168	1205	5927
169	1212	5919
170	1219	5911
171	1226	5902
172	1232	5893
173	1239	5885
174	1246	5877
175	1253	5868
176	1260	5859
177	1267	5851
178	1273	5843
179	1280	5834
180	1287	5826
181	1294	5818
182	1301	5809
183	1308	5801
184	1314	5792
185	1321	5784
186	1328	5776
187	1335	5768
188	1342	5759
189	1349	5751
190	1355	5743
191	1362	5735
192	1369	5727
193	1376	5719
194	1383	5711
195	1390	5703
196	1397	5694
197	1404	5686
198	1410	5678
199	1417	5669
200	1424	5661
201	1431	5653
202	1437	5645
203	1444	5637
204	1451	5629
205	1458	5621
206	1465	5613
207	1472	5605
208	1478	5597
209	1485	5589
210	1492	5581
211	1499	5573
212	1506	5565
213	1512	5557
214	1519	5548
215	1526	5540
216	1533	5532
217	1540	5524
218	1546	5516
219	1553	5508
220	1560	5500
221	1567	5493
222	1574	5485
223	1581	5477
224	1588	5470
225	1594	5462
226	1601	5454
227	1608	5447
228	1615	5438
229	1622	5430
230	1628	5422
231	1635	5415
232	1642	5407
233	1649	5399
234	1656	5391
235	1663	5384
236	1669	5376
237	1676	5368
238	1683	5361
239	1690	5353
240	1697	5345
241	1704	5338
242	1711	5330
243	1717	5322
244	1724	5315
245	1731	5307
246	1738	5299
247	1745	5291
248	1751	5283
249	1758	5275
250	1765	5268
251	1772	5260
252	1779	5252
253	1785	5245
254	1792	5237
255	1799	5230
256	1806	5222
257	1813	5215
258	1820	5207
259	1827	5200
260	1833	5192
261	1840	5185
262	1847	5177
263	1854	5170
264	1861	5162
265	1868	5155
266	1875	5147
267	1881	5140
268	1888	5132
269	1895	5124
270	1902	5117
271	1909	5110
272	1916	5102
273	1922	5095
274	1929	5087
275	1936	5080
276	1943	5072
277	1950	5064
278	1956	5057
279	1963	5049
280	1970	5042
281	1977	5035
282	1984	5027
283	1991	5020
284	1997	5012
285	2004	5005
286	2011	4997
287	2018	4990
288	2025	4982
289	2032	4975
290	2039	4968
291	2045	4960
292	2052	4953
293	2059	4945
294	2066	4938
295	2073	4930
296	2080	4923
297	2086	4916
298	2093	4908
299	2100	4900
300	2107	4893
301	2114	4886
302	2120	4878
303	2127	4870
304	2134	4863
305	2141	4856
306	2148	4848
307	2154	4841
